error_message,recommended_action
SyntaxError,Check for missing colons (:) or mismatched parentheses and quotes.
IndentationError,Ensure consistent use of 4 spaces per level; do not mix tabs and spaces.
NameError,Verify the variable name is spelled correctly and was defined before being used.
TypeError,Ensure you are not mixing incompatible types (e.g. adding a string to an integer).
ValueError,Validate that the data content is appropriate for the function (e.g. non-numeric strings in int()).
IndexError,Check that the list index exists; remember that Python indexing starts at 0.
KeyError,Verify the key exists in the dictionary or use the .get() method for a safe default.
AttributeError,Confirm the object actually has the method or attribute you are trying to call.
ModuleNotFoundError,Use 'pip install' to install the missing package in your current environment.
FileNotFoundError,Check the file path for typos and use absolute paths if the script moves.
ZeroDivisionError, Add a check to ensure the denominator is not zero before performing division.
RecursionError,Ensure your recursive function has a base case to prevent an infinite loop.
ImportError,Check if the module is installed or if there is a circular dependency.
File too large: too many records or columns,"Split the file into smaller chunks or increase the memory limit of the importing application."
Map the remaining required fields to proceed,"Review the list of mandatory attributes and ensure all necessary columns are correctly mapped in the CSV."
Incomplete final line warning,"Ensure the last line of your CSV file ends with a linefeed (\n) or carriage return (\r\n) character."
Disallowed characters in column {column},"Find and strip non-printing or POSIX non-compliant characters from your data using a text editor like [Notepad++](url)."
403 Forbidden: client error calling HeadObject,"Verify that the AWS CLI or user has the correct IAM permissions for the S3 bucket or object."
400 Bad Request: missing right syntax,"Check for unescaped special characters in the request string or CSV data and validate syntax."
Could not generate CSV file,"Check if the temporary storage directory exists and has sufficient write permissions."
The specified action can be called only once,"Verify user permissions; some roles cannot be inherited through teams and must be assigned directly."
XML isn't in correct format (0xC0010009),"Fix the mapping in the data project or ensure the CSV file contains all expected columns defined in the schema."
Literal does not match format string (ORA-01861),"Check that the date or number format in the CSV matches the expected format string in the database."
CSV delimiter appearing in data column,"Wrap data values containing commas in quotation marks or use a different delimiter like a pipe (|) or semicolon (;)."
Unicode conversion/Encoding issues,"Save the file as UTF-8 encoding to ensure all special characters are supported and readable across systems."
Storage integration link broken,"Recreate the association between the external stage and the storage integration if the latter was recreated."
CSV format error: Column count mismatch,"Check for stray commas in your data and ensure every row has the same number of delimiters as the header."
404 Not Found: Resource does not exist,"Verify the endpoint URL or object ID; check the [Google Cloud Status Dashboard](https://status.cloud.google.com) for service outages."
Invalid boolean value in column {x},"Ensure true/false columns contain only '1/0', 'True/False', or 'Yes/No' as defined by the [Salesforce Data Loader](https://help.salesforce.com) requirements."
Maximum string length exceeded,"Truncate text fields to stay within the character limits of the target database schema."
504 Gateway Timeout,"Increase the timeout settings on your load balancer or optimize the CSV processing logic to handle larger batches."
Missing header row,"Add a descriptive first row to your CSV or specify 'no header' in your [Pandas read_csv](https://pandas.pydata.org) or import settings."
Data type mismatch: expected Integer found String,"Audit the specified column for non-numeric characters, spaces, or currency symbols that prevent mathematical parsing."
Access Denied: S3 bucket policy restriction,"Update the [AWS S3 Bucket Policy](https://aws.amazon.com) to allow the 'GetObject' or 'PutObject' action for your user."
Trailing whitespace in key fields,"Use a 'Trim' function or a [Python script](https://docs.python.org) to remove leading/trailing spaces that cause lookup failures."
Disk full while writing CSV,"Clear temporary system files or redirect the output stream to a volume with more available storage space."
BOM (Byte Order Mark) detected,"Save the CSV as 'UTF-8 without BOM' to prevent mapping errors in systems like [Microsoft SQL Server](https://learn.microsoft.com)."
Null value in non-nullable column,"Identify rows with empty fields and provide a default value or remove the row before importing into the [PostgreSQL database](https://www.postgresql.org)."
Cyclic dependency detected in records,"Review parent-child relationships in your CSV to ensure no record references itself or creates an infinite loop."
Permission denied: (publickey),"Ensure your SSH key is added to the [GitHub Agent](https://docs.github.com) or server authorized_keys file."
500 Internal Server Error,"Check the server-side logs for a stack trace; the issue is likely a crash in the [backend API](https://developer.mozilla.org) logic."
Malformed header: contains illegal characters,"Remove symbols like #, $, or % from your CSV header row to comply with [BigQuery table naming](https://cloud.google.com) rules."
Invalid URI: The format could not be determined,"Check that URLs in your data columns are properly prefixed with http:// or https://."
Locked record: record currently being edited,"Retry the import after the target record is released by the current user or background process."
Connection refused: port 5432,"Verify that the database service is running and that the [firewall allows traffic](https://docs.aws.amazon.com) on that specific port."
Too many open files,"Increase the system's ulimit or ensure your script explicitly closes file handles after processing each CSV."
401 Unauthorized: Expired Token,"Refresh your [OAuth 2.0 access token](https://auth0.com) or re-authenticate to obtain a new session."
CSRF token mismatch,"Ensure your request includes a valid CSRF token in the headers to pass [OWASP security checks](https://cheatsheetseries.owasp.org)."
Account locked due to multiple failed attempts,"Wait for the lockout period to expire or reset your credentials via the [identity provider's portal](https://support.microsoft.com)."
SSL Certificate Expired,"Renew the certificate for your domain using [Let's Encrypt](https://letsencrypt.org) or check your system clock settings."
Rate limit exceeded: IP throttled,"Reduce the frequency of requests or request an [API quota increase](https://developers.google.com) from the provider."
Dependency version conflict (DLL Hell),"Use a virtual environment or [Docker container](https://www.docker.com) to isolate specific library versions."
DNS lookup failed: NXDOMAIN,"Verify the domain spelling or check if the record is correctly configured in your [Cloudflare DNS dashboard](https://dash.cloudflare.com)."
Resource limit hit: Out of Memory (OOM),"Optimize your script to use generators instead of loading the full CSV into a [Pandas DataFrame](https://pandas.pydata.org)."
Broken Pipe (EPIPE),"Ensure the remote socket is still open before sending data; check for network stability or server-side timeouts."
File not found in expected directory,"Use absolute paths instead of relative paths to ensure your [Python or Node.js script](https://nodejs.org) locates the CSV correctly."
Deployment failed: Health check timeout,"Increase the grace period in your [AWS ECS](https://docs.aws.amazon.com) or Kubernetes liveness probe settings."
Merge conflict in {file_name},"Manually resolve overlapping changes in [Git](https://docs.github.com) and commit the fixed version."
Insufficient disk space on node,"Run 'docker system prune' or expand the EBS volume via the [AWS Console](https://console.aws.amazon.com)."
Container crashed: Exit Code 137,"Allocate more memory to the container, as this usually indicates an [OOMKilled](https://kubernetes.io) event."
Validation error: Schema mismatch,"Update your [JSON Schema](https://json-schema.org) or CSV mapping to align with the latest API version definitions."
Deprecated API call: {endpoint},"Update your integration to use the newer version specified in the [developer changelog](https://developer.mozilla.org)."
Pipeline stalled: No runners available,"Check the status of your [GitHub Actions](https://github.com) self-hosted runners or increase your concurrent job quota."
Invalid CORS policy: Origin not allowed,"Add your domain to the 'Access-Control-Allow-Origin' header in your [server configuration](https://developer.mozilla.org)."
Upstream dependency failed (502 Bad Gateway),"Verify that the backend service behind the [Nginx proxy](https://docs.nginx.com) is actually running."
Write permissions denied on /var/www/,"Change the folder ownership to the web server user (e.g., www-data) using [chown](https://linux.die.net)."
Network timeout: Connection abandoned,"Check your local firewall settings or use [Speedtest by Ookla](https://www.speedtest.net) to verify stable upload bandwidth."
Invalid SSH private key permissions,"Run 'chmod 400' on your key file to restrict access as required by [OpenSSH security standards](https://www.openssh.com)."
406 Not Acceptable: Content-Type mismatch,"Ensure your request header 'Accept' matches the response format provided by the [API documentation](https://developer.mozilla.org)."
Sandbox environment mismatch,"Verify you are using [Stripe Test Mode keys](https://stripe.com) when hitting the development endpoint instead of live keys."
Database deadlocked: transaction rolled back,"Implement a retry loop with jitter in your application logic to handle [SQL Server deadlock](https://learn.microsoft.com) exceptions."
Circular reference in spreadsheet formula,"Locate the cell referencing itself and break the link using [Excel's Error Checking](https://support.microsoft.com) tool."
Missing DLL: VCRUNTIME140.dll,"Download and install the [Microsoft Visual C++ Redistributable](https://learn.microsoft.com) package."
Package signature verification failed,"Clear your [npm cache](https://docs.npmjs.com) or verify the integrity of the downloaded library."
Request entity too large (413),"Increase the 'client_max_body_size' in your [Nginx configuration](https://www.nginx.com) to allow larger CSV uploads."
Invalid JWT: Signature verification failed,"Verify that the 'Secret' or 'Public Key' used to sign the token matches the one in your [Identity Provider](https://jwt.io)."
Command not found: {command},"Verify the tool is installed and added to your [System PATH](https://opensource.com)."
Permission denied (os error 13),"Prepend 'sudo' to the command or use [chmod](https://linux.die.net) to grant execute permissions to the current user."
Target bucket does not exist (404),"Check the bucket name for typos and ensure it is created in the correct [AWS Region](https://aws.amazon.com)."
Integration user lacks 'Modify All Data',"Grant the necessary administrative permissions in the [Salesforce Setup](https://help.salesforce.com) menu for the API user."
Disk quota exceeded,"Delete unnecessary logs or temporary files in the [home directory](https://tldp.org) to free up allocated space."
Unexpected EOF while parsing,"Check for missing closing brackets, parentheses, or quotes in your [Python script](https://docs.python.org)."
API Key Revoked,"Generate a new credential in your [Developer Dashboard](https://developers.google.com) and update your environment variables."
Port already in use: 8080,"Identify the process holding the port using [lsof -i :8080](https://linux.die.net) and terminate it."
Module not found: '{name}',"Run 'pip install' or 'npm install' to fetch the missing dependency from the [package registry](https://www.npmjs.com)."
Maximum execution time of 30 seconds exceeded,"Increase the 'max_execution_time' setting in your [php.ini](https://www.php.net) configuration."
Partition column not found in data path,"Ensure your CSV is placed in a directory structure that matches your [AWS Glue](https://docs.aws.amazon.com) or Spark partition keys."
Transaction declined: Insufficient funds,"Prompt the user to use a different payment method via the [Stripe Dashboard](https://stripe.com) or contact their bank."
HDFS block under-replication,"Check the health of your DataNodes and adjust the replication factor in the [Hadoop HDFS config](https://hadoop.apache.org)."
3D Secure authentication failed,"Redirect the customer to complete the [multi-factor authentication](https://www.checkout.com) flow required by their card issuer."
Too many columns for Parquet conversion,"Flatten your data structure or remove unused fields before writing to [Apache Parquet](https://parquet.apache.org) format."
Gateway Rejected: Fraud filter,"Review the transaction risk score and white-list the IP or email in your [PayPal/Braintree](https://developer.paypal.com) settings."
Kinesis stream throughput exceeded,"Increase the number of shards in your [Amazon Kinesis](https://aws.amazon.com) stream or implement producer-side aggregation."
Invalid Currency Code: {code},"Convert currency strings to [ISO 4217](https://www.iso.org) standard three-letter codes (e.g., USD, EUR)."
Table 'xyz' is being recovered,"Wait for the database engine to finish its [crash recovery](https://dev.mysql.com) process before attempting new writes."
Metadata fetch failed: Timeout,"Check connectivity to your [Kafka Broker](https://kafka.apache.org) and verify that the bootstrap servers are reachable."
CUDA out of memory: tried to allocate {x} MiB,"Reduce the batch size in your [PyTorch](https://pytorch.org) training loop or use gradient accumulation."
Serial port not found / Permission denied,"Verify the [Arduino](https://www.arduino.cc) or IoT device is plugged in and your user is in the 'dialout' group."
Model version mismatch: expected {v1} found {v2},"Re-export your model or update the [TensorFlow Serving](https://www.tensorflow.org) container to match the saved model format."
Low signal-to-noise ratio (SNR) detected,"Check the physical antenna alignment or reduce interference for your [LoRaWAN](https://www.thethingsnetwork.org) or cellular IoT node."
Input contains NaN infinity or a value too large,"Apply a [Scikit-learn SimpleImputer](https://scikit-learn.org) or drop rows with missing values before fitting the model."
Firmware checksum mismatch,"Re-download the binary and verify the integrity before flashing the [ESP32](https://docs.espressif.com) or microcontroller."
Label mismatch: classes found in data do not match model,"Audit your CSV labels to ensure they exactly match the [LabelEncoder](https://scikit-learn.org) classes used during training."
I2C device not responding at address 0x{xx},"Use an [I2C Scanner script](https://playground.arduino.cc) to verify the hardware address and check pull-up resistors."
Weights file corrupted or truncated,"Re-download the pre-trained weights from the [Hugging Face Hub](https://huggingface.co) and verify the file size."
Sensor timeout: no data received,"Check the wiring for loose connections and ensure the [sensor library](https://learn.adafruit.com) matches the hardware version."
Docker: No space left on device,"Run 'docker system prune -a' to remove unused images and containers or expand the [Docker Desktop](https://docs.docker.com) disk limit."
Hydration failed: Text content did not match,"Ensure your [Next.js](https://nextjs.org) component renders the same content on the server and client to avoid DOM mismatches."
Exec format error (OS Error 8),"Verify the image architecture matches your hardware (e.g., use --platform linux/amd64 for [M1/M2 Mac](https://docs.docker.com) compatibility)."
ReferenceError: window is not defined,"Wrap client-side code in a 'useEffect' hook or check for 'typeof window' to avoid running browser-only code in [Node.js](https://nodejs.org)."
Docker: Error response from daemon: conflict,"Remove the existing container with 'docker rm -f {name}' before trying to reuse the same [container name](https://docs.docker.com)."
Z-index stacking context issue,"Review the parent element's position and opacity; use [MDN's Stacking Context guide](https://developer.mozilla.org) to fix layering."
Manifest file not found: 404,"Verify the build output path and ensure your [Web App Manifest](https://developer.mozilla.org) is correctly linked in the HTML head."
Entrypoint file not executable,"Run 'chmod +x entrypoint.sh' before building the [Docker image](https://docs.docker.com) to ensure the startup script can run."
Uncaught TypeError: Cannot read property of undefined,"Use [Optional Chaining](https://developer.mozilla.org) (?.) to safely access nested object properties in your JavaScript/React code."
Image size exceeds 1MB: LCP impact,"Compress images using [Squoosh](https://squoosh.app) or implement lazy loading to improve [Core Web Vitals](https://web.dev)."
0x80070005: Access is Denied,"Run the application as Administrator or take ownership of the folder via [Windows File Explorer](https://support.microsoft.com)."
OpenAPI: Required property 'x' is missing,"Update your JSON/YAML definition to include all mandatory fields specified in your [Swagger/OpenAPI schema](https://swagger.io)."
The service did not respond in a timely fashion,"Check the [Windows Event Viewer](https://learn.microsoft.com) for service-specific timeouts and increase the ServicesPipeTimeout registry value."
Swagger: Discriminator value does not match any schema,"Verify that the 'type' field in your payload matches the names defined in your [polymorphic API mapping](https://swagger.io)."
0x8004210B: Operation timed out (SMTP),"Disable your antivirus email scanning temporarily or check your [Outlook account settings](https://support.microsoft.com) for port 587 (TLS)."
0x0000007B: INACCESSIBLE_BOOT_DEVICE,"Verify your SATA mode (AHCI vs IDE) in the [BIOS/UEFI settings](https://learn.microsoft.com) after a hardware change."
Broken link in API documentation,"Run a link checker like [Broken Link Checker](https://www.npmjs.com) to identify and fix 404s in your Redoc or Docusaurus site."
The instruction at 0x{addr} referenced memory at 0x{addr},"Run the [System File Checker (sfc /scannow)](https://support.microsoft.com) to repair corrupted Windows system files."
415 Unsupported Media Type,"Set the 'Content-Type' header to 'application/json' or 'text/csv' as expected by the [REST API endpoint](https://developer.mozilla.org)."
DLL register server failed: 0x8002801c,"Open the command prompt as an administrator and use [Regsvr32](https://learn.microsoft.com) to manually register the component."
CrashLoopBackOff,"Inspect container logs using [kubectl logs --previous](https://kubernetes.io) to identify application crashes or missing dependencies."
ImagePullBackOff,"Verify the image name/tag and ensure [imagePullSecrets](https://kubernetes.io) are correctly configured for private registries."
OOMKilled (Exit Code 137),"Increase the memory limits in your [Pod manifest](https://kubernetes.io) or optimize the application's memory footprint."
CreateContainerConfigError,"Check for missing or misnamed [ConfigMaps or Secrets](https://kubernetes.io) referenced in your environment variables or volume mounts."
NodeNotReady,"Check node resource pressure (Disk/Memory) and verify the [kubelet service](https://kubernetes.io) status on the affected worker node."
FailedScheduling: Insufficient cpu/memory,"Scale your cluster nodes or reduce the [resource requests](https://kubernetes.io) of the pod to fit available capacity."
0/1 nodes available: node(s) had taint {key: value},"Add a matching [toleration](https://kubernetes.io) to the Pod spec or remove the taint from the node."
Service 'xyz' not found (DNS resolution fail),"Restart [CoreDNS pods](https://kubernetes.io) and verify the service name matches the internal cluster FQDN."
PersistentVolumeClaim is Pending,"Ensure a [StorageClass](https://kubernetes.io) is defined or manually provision a PersistentVolume that matches the claim's requirements."
ErrImageNeverPull,"Change the [imagePullPolicy](https://kubernetes.io) to 'Always' or 'IfNotPresent' if the image is not already cached on the node."
Admission webhook denied the request,"Review your [Validating Admission Webhook](https://kubernetes.io) logs to identify policy violations (e.g., missing labels)."
The connection to the server localhost:8080 was refused,"Verify that your [kubeconfig](https://kubernetes.io) context is correct and that the API server is reachable."
User: {arn} is not authorized to perform: sts:AssumeRole,"Update the [IAM Trust Policy](https://docs.aws.amazon.com) to allow the specific entity to assume the target role."
dmesg: [sda] Write Protect is on,"Check the physical write-protect switch on your drive or clear the 'read-only' attribute using [hdparm](https://linux.die.net)."
Kernel panic - not syncing: VFS: Unable to mount root fs,"Verify your [GRUB/bootloader configuration](https://www.gnu.org) and ensure the initramfs file exists for the current kernel version."
403 Forbidden: Cross-Origin Resource Sharing (CORS),"Configure the [CORS policy](https://developer.mozilla.org) on your server to allow the 'Origin' header from your frontend domain."
Inbound rule violation: Security Group blocks port {x},"Add an ingress rule to your [VPC Security Group](https://docs.aws.amazon.com) to allow traffic from the source IP range."
Too many open files (ulimit -n),"Increase the maximum number of open file descriptors in [/etc/security/limits.conf](https://linux.die.net) for the service user."
RBAC: user {u} cannot list resource {r} in namespace {n},"Create a [RoleBinding or ClusterRoleBinding](https://kubernetes.io) to grant the required 'list' verb for that resource."
Segmentation fault (core dumped),"Use [gdb (GNU Debugger)](https://www.sourceware.org) to inspect the stack trace and identify invalid memory access in your C/C++ code."
X.509: Certificate signed by unknown authority,"Install the root CA certificate into your system's [trust store](https://manuals.gfi.com) or update the 'cacert' file."
EKS: Service account not found for pod,"Ensure the [ServiceAccount](https://docs.aws.amazon.com) exists in the namespace and is correctly mapped to an IAM role."
Data loss: partial write to destination,"Verify the [Snowflake COPY INTO](https://docs.snowflake.com) command options and check the 'ON_ERROR' parameter settings."
Deadlock found when trying to get lock; try restarting transaction,"Implement a backoff and retry mechanism in your [MySQL](https://dev.mysql.com) or MariaDB application logic."
Spark: java.lang.OutOfMemoryError: GC overhead limit exceeded,"Increase the 'spark.executor.memory' or optimize your [Apache Spark](https://spark.apache.org) transformations to reduce object creation."
Airflow: Task exited with return code Negsignal.SIGKILL,"Check for memory spikes in your [Airflow Task](https://airflow.apache.org) and increase the container resources or worker memory."
Column '{name}' has incompatible types (Int64 vs String),"Use a [Schema Enforcement](https://delta.io) tool or cast the column types explicitly during the ETL merge process."
BigQuery: Quota exceeded for query bytes scanned,"Optimize your SQL by selecting only necessary columns and using [Partitioned Tables](https://cloud.google.com) to reduce scan costs."
Kafka: OffsetOutOfRangeException,"Reset the consumer offset to the 'earliest' or 'latest' available position in the [Kafka Topic](https://kafka.apache.org)."
Failed to write to Parquet: schema mismatch in row group,"Ensure all files in the directory share the same schema before using [PyArrow](https://arrow.apache.org) to read them as a single dataset."
Redshift: Assert failure in query execution,"Check for complex joins on large tables without proper [Distribution Keys](https://docs.aws.amazon.com) and simplify the query."
Glue: Failed to infer schema from empty path,"Verify that the [S3 Source Path](https://docs.aws.amazon.com) contains files and that the Glue Crawler has the correct permissions."
Webhook delivery failed: 5xx Server Error,"Check your endpoint logs for crashes; ensure your [Webhook Listener](https://stripe.com) returns a 2xx status code immediately."
Jupyter: Kernel Starting or Restarting,"Verify the selected [Conda environment](https://docs.conda.io) is still valid and that the 'ipykernel' package is installed."
HMAC signature mismatch in header,"Verify the shared secret key and ensure you are hashing the [raw request body](https://developer.github.com) rather than the parsed JSON."
ModuleNotFoundError: No module named 'scipy',"Install the missing library in your notebook cell using [%pip install scipy](https://ipython.readthedocs.io)."
Webhook timeout: exceeded 10 seconds,"Offload heavy processing to a [background worker/queue](https://redis.io) and respond to the webhook trigger instantly."
ValueError: Expected 2D array got 1D array instead,"Reshape your feature vector using [.reshape(-1, 1)](https://scikit-learn.org) before passing it to a Scikit-learn model."
410 Gone: Webhook subscription deleted,"Re-register the webhook URL via the [API Dashboard](https://developers.facebook.com) as the subscription has been explicitly removed."
InsecureRequestWarning: Unverified HTTPS request,"Add a valid SSL certificate to your endpoint or use the [Certifi library](https://pypi.org) to handle CA bundles in Python."
Notebook size exceeds 100MB limit,"Clear all cell outputs or remove large [Plotly/Matplotlib](https://matplotlib.org) figures before saving and pushing to GitHub."
Duplicate webhook event received,"Implement [idempotency logic](https://stripe.com) to check the unique event ID before processing the data to avoid duplicate records."
Execution failed for task ':app:processDebugResources',"Check your [Android Studio](https://developer.android.com) XML files for syntax errors or duplicate resource IDs."
Missing 'NSPhotoLibraryUsageDescription' key in Info.plist,"Add the required privacy description in [Xcode](https://developer.apple.com) to prevent crashes on iOS 10+."
Nmap: Failed to resolve hostname/IP,"Verify your network connection or check the target's DNS records using [nslookup](https://learn.microsoft.com)."
Metasploit: Exploit completed but no session was created,"Disable the target's antivirus/firewall or verify the [LHOST/LPORT](https://docs.metasploit.com) settings match your listener."
Burp Suite: Proxy not responding on 127.0.0.1:8080,"Check if another process is using the port or update the [Burp Proxy listener settings](https://portswigger.net)."
Keystore file '{path}' not found for signing,"Verify the 'signingConfigs' in your [Gradle build file](https://developer.android.com) point to a valid .jks or .keystore file."
CocoaPods: Cannot synthesize a podspec,"Run 'pod repo update' and 'pod install' to sync your [iOS dependencies](https://guides.cocoapods.org) with the latest specs."
